Experiment_no,Disyllable,Date,Dataset,Model,Train Loss,Train RMSE,Train R2,Validate Loss,Validate RMSE,Validate R2,Test Loss,Test RMSE,Test R2,Eval RMSE,Eval R2,Training_time,EarlyStop At,EarlyStopPatience,Learning rate,Batch size,Epochs,Loss function,Optimizer,Label mode,Eval label mode,Train feature shape,Label shape,Load_save,Load_checkpoint
14,True,2020-March-12 06:49,ta/d_dataset_p2/prep_data_20,senet,0.01325168289705335,0.11371621235850862,0.9487358746536928,0.015799064600613755,0.12384096208619805,0.9377211766463832,0.016132410223234767,0.12500886227591015,0.936625531045742,,,3736.443200111389,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
15,True,2020-March-12 08:01,ta/d_dataset_p2/prep_data_20,senet,0.007044768938257486,0.08317411027955936,0.9717960624651542,0.015454775573748603,0.12156700363146045,0.9390506147156632,0.0150286471761673,0.11985748292951458,0.940996451042352,,,4329.967372894287,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
16,True,2020-March-12 09:15,ta/d_dataset_p2/prep_data_20,senet,0.011244390361094665,0.1045184375685293,0.9564937713070112,0.015048439094570319,0.12048236640289775,0.9407261928464692,0.015264324968376031,0.12122556845259498,0.9399462677309464,,,4349.2134153842935,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
17,True,2020-March-12 10:54,ta/d_dataset_p2/prep_data_20,senet,0.008052555347888927,0.08870005624223835,0.9684563500015289,0.015867189267077586,0.1235545876178637,0.9376714266670192,0.015622793772109069,0.12256483946451895,0.9389629243364428,,,5839.222389698029,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
18,True,2020-March-12 12:36,ta/d_dataset_p2/prep_data_20,senet,0.01969490074275261,0.13854655467487026,0.9238120298606862,0.02056358335747186,0.14135871265702246,0.9193862613914182,0.020798990830191003,0.14220327216837506,0.9187909656072848,,,6035.165144920349,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
19,True,2020-March-12 15:53,ta/d_dataset_p2/prep_data_20,senet,0.008360745784012576,0.09039157433442836,0.9673284694880596,0.016302149110894004,0.12526309103548033,0.9359398687297614,0.016563739930531503,0.12612311966465928,0.93508963419751,,,11679.454441070557,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
20,True,2020-March-12 19:14,ta/d_dataset_p2/prep_data_20,senet,0.023231479265539208,0.1502719773799249,0.9096497502661336,0.02048515186263906,0.1410525525920863,0.9196010254313932,0.02125977896708808,0.14359058515510462,0.9167014467130952,,,11983.40901184082,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
21,True,2020-March-12 20:59,ta/d_dataset_p2/prep_data_20,senet,0.008921479432700457,0.09318552894509287,0.965137293130332,0.014573625654674578,0.11848805548808646,0.942538311230952,0.014849777297869106,0.11956274669973732,0.9417818375519204,,,6164.9805948734265,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
22,True,2020-March-12 22:45,ta/d_dataset_p2/prep_data_20,senet,0.014907259081113103,0.12066675610670174,0.9425416235741668,0.017001975796651983,0.12864047098202214,0.9332424566422712,0.017024205690504713,0.1286828606863605,0.9333836108370042,,,6280.5080292224875,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
25,True,2020-March-13 06:16,ta/d_dataset_p2/prep_data_20,senet,0.008015636293119384,0.08848183062044672,0.968656148495433,0.01548602737434194,0.12216550794096005,0.9392558498526796,0.01576748326951952,0.1231778153196716,0.9382162168844296,,,6581.185214519501,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
26,True,2020-March-13 08:09,ta/d_dataset_p2/prep_data_20,senet,0.02022480252011565,0.14042271603065154,0.9216078700044713,0.01994570776853381,0.1393432826230951,0.9220150841138536,0.019815142563455884,0.13883439465952765,0.9227257374452239,,,6730.5979335308075,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
